Hour,Day,Month,State_of_Charge
24,12,11,0.0
1,13,11,0.0
2,13,11,0.0
3,13,11,0.0
4,13,11,0.0
5,13,11,0.0
6,13,11,0.0
7,13,11,0.0
8,13,11,0.0
9,13,11,90.0
10,13,11,180.0
11,13,11,180.0
12,13,11,180.0
13,13,11,180.0
14,13,11,180.0
15,13,11,180.0
16,13,11,180.0
17,13,11,90.0
18,13,11,0.0
19,13,11,0.0
20,13,11,0.0
21,13,11,0.0
22,13,11,0.0
23,13,11,0.0
24,13,11,0.0
1,14,11,0.0
2,14,11,0.0
3,14,11,0.0
4,14,11,0.0
5,14,11,0.0
6,14,11,0.0
7,14,11,0.0
8,14,11,0.0
9,14,11,90.0
10,14,11,90.0
11,14,11,90.0
12,14,11,90.0
13,14,11,90.0
14,14,11,90.0
15,14,11,90.0
16,14,11,90.0
17,14,11,0.0
18,14,11,0.0
19,14,11,0.0
20,14,11,0.0
21,14,11,0.0
22,14,11,0.0
23,14,11,0.0
24,14,11,0.0
1,15,11,0.0
2,15,11,0.0
3,15,11,0.0
4,15,11,0.0
5,15,11,0.0
6,15,11,0.0
7,15,11,90.0
8,15,11,90.0
9,15,11,90.0
10,15,11,90.0
11,15,11,90.0
12,15,11,90.0
13,15,11,90.0
14,15,11,90.0
15,15,11,90.0
16,15,11,90.0
17,15,11,0.0
18,15,11,0.0
19,15,11,0.0
20,15,11,0.0
21,15,11,0.0
22,15,11,0.0
23,15,11,0.0
24,15,11,0.0
1,16,11,0.0
2,16,11,0.0
3,16,11,0.0
4,16,11,0.0
5,16,11,0.0
6,16,11,0.0
7,16,11,0.0
8,16,11,0.0
9,16,11,90.0
10,16,11,90.0
11,16,11,90.0
12,16,11,90.0
13,16,11,90.0
14,16,11,90.0
15,16,11,90.0
16,16,11,90.0
17,16,11,90.0
18,16,11,0.0
19,16,11,0.0
20,16,11,0.0
21,16,11,0.0
22,16,11,0.0
23,16,11,0.0
24,16,11,0.0
1,17,11,0
2,17,11,0
3,17,11,0
4,17,11,0
5,17,11,0
6,17,11,0
7,17,11,0
8,17,11,0
9,17,11,0
10,17,11,0
11,17,11,0
12,17,11,0
13,17,11,0
14,17,11,0
15,17,11,0
16,17,11,0
17,17,11,0
18,17,11,0
19,17,11,0
20,17,11,0
21,17,11,0
22,17,11,0
23,17,11,0
24,17,11,0
1,18,11,0.0
2,18,11,0.0
3,18,11,0.0
4,18,11,0.0
5,18,11,0.0
6,18,11,0.0
7,18,11,0.0
8,18,11,0.0
9,18,11,90.0
10,18,11,90.0
11,18,11,90.0
12,18,11,90.0
13,18,11,90.0
14,18,11,90.0
15,18,11,90.0
16,18,11,90.0
17,18,11,0.0
18,18,11,0.0
19,18,11,0.0
20,18,11,0.0
21,18,11,0.0
22,18,11,0.0
23,18,11,0.0
24,18,11,0.0
1,19,11,0.0
2,19,11,0.0
3,19,11,0.0
4,19,11,0.0
5,19,11,0.0
6,19,11,0.0
7,19,11,0.0
8,19,11,0.0
9,19,11,90.0
10,19,11,90.0
11,19,11,90.0
12,19,11,90.0
13,19,11,90.0
14,19,11,90.0
15,19,11,90.0
16,19,11,90.0
17,19,11,0.0
18,19,11,0.0
19,19,11,0.0
20,19,11,0.0
21,19,11,0.0
22,19,11,0.0
23,19,11,0.0
24,19,11,0.0
1,20,11,0.0
2,20,11,0.0
3,20,11,0.0
4,20,11,0.0
5,20,11,0.0
6,20,11,0.0
7,20,11,0.0
8,20,11,0.0
9,20,11,90.0
10,20,11,90.0
11,20,11,90.0
12,20,11,90.0
13,20,11,90.0
14,20,11,90.0
15,20,11,90.0
16,20,11,90.0
17,20,11,0.0
18,20,11,0.0
19,20,11,0.0
20,20,11,0.0
21,20,11,0.0
22,20,11,0.0
23,20,11,0.0
24,20,11,0.0
1,21,11,0.0
2,21,11,0.0
3,21,11,0.0
4,21,11,0.0
5,21,11,0.0
6,21,11,0.0
7,21,11,0.0
8,21,11,0.0
9,21,11,0.0
10,21,11,0.0
11,21,11,0.0
12,21,11,0.0
13,21,11,0.0
14,21,11,0.0
15,21,11,90.0
16,21,11,180.0
17,21,11,90.0
18,21,11,0.0
19,21,11,0.0
20,21,11,0.0
21,21,11,0.0
22,21,11,0.0
23,21,11,0.0
24,21,11,0.0
1,22,11,0.0
2,22,11,0.0
3,22,11,0.0
4,22,11,0.0
5,22,11,0.0
6,22,11,0.0
7,22,11,0.0
8,22,11,0.0
9,22,11,90.0
10,22,11,90.0
11,22,11,90.0
12,22,11,90.0
13,22,11,90.0
14,22,11,90.0
15,22,11,90.0
16,22,11,90.0
17,22,11,0.0
18,22,11,0.0
19,22,11,0.0
20,22,11,0.0
21,22,11,0.0
22,22,11,0.0
23,22,11,0.0
24,22,11,0.0
1,23,11,0.0
2,23,11,0.0
3,23,11,0.0
4,23,11,0.0
5,23,11,0.0
6,23,11,0.0
7,23,11,0.0
8,23,11,0.0
9,23,11,90.0
10,23,11,90.0
11,23,11,90.0
12,23,11,90.0
13,23,11,90.0
14,23,11,90.0
15,23,11,90.0
16,23,11,180.0
17,23,11,90.0
18,23,11,0.0
19,23,11,0.0
20,23,11,0.0
21,23,11,0.0
22,23,11,0.0
23,23,11,0.0
24,23,11,0.0
1,24,11,0.0
2,24,11,0.0
3,24,11,0.0
4,24,11,0.0
5,24,11,0.0
6,24,11,0.0
7,24,11,0.0
8,24,11,0.0
9,24,11,90.0
10,24,11,90.0
11,24,11,90.0
12,24,11,90.0
13,24,11,90.0
14,24,11,90.0
15,24,11,90.0
16,24,11,90.0
17,24,11,0.0
18,24,11,0.0
19,24,11,0.0
20,24,11,0.0
21,24,11,0.0
22,24,11,0.0
23,24,11,0.0
24,24,11,0.0
1,25,11,0.0
2,25,11,0.0
3,25,11,0.0
4,25,11,0.0
5,25,11,0.0
6,25,11,0.0
7,25,11,0.0
8,25,11,90.0
9,25,11,180.0
10,25,11,180.0
11,25,11,180.0
12,25,11,180.0
13,25,11,180.0
14,25,11,180.0
15,25,11,180.0
16,25,11,180.0
17,25,11,90.0
18,25,11,0.0
19,25,11,0.0
20,25,11,0.0
21,25,11,0.0
22,25,11,0.0
23,25,11,0.0
24,25,11,0.0
1,26,11,0.0
2,26,11,0.0
3,26,11,0.0
4,26,11,0.0
5,26,11,0.0
6,26,11,0.0
7,26,11,0.0
8,26,11,90.0
9,26,11,180.0
10,26,11,180.0
11,26,11,180.0
12,26,11,180.0
13,26,11,180.0
14,26,11,180.0
15,26,11,180.0
16,26,11,180.0
17,26,11,180.0
18,26,11,90.0
19,26,11,90.0
20,26,11,90.0
21,26,11,0.0
22,26,11,0.0
23,26,11,0.0
24,26,11,0.0
1,27,11,0.0
2,27,11,0.0
3,27,11,0.0
4,27,11,0.0
5,27,11,0.0
6,27,11,0.0
7,27,11,0.0
8,27,11,90.0
9,27,11,90.0
10,27,11,90.0
11,27,11,90.0
12,27,11,90.0
13,27,11,90.0
14,27,11,90.0
15,27,11,90.0
16,27,11,90.0
17,27,11,90.0
18,27,11,0.0
19,27,11,0.0
20,27,11,0.0
21,27,11,0.0
22,27,11,0.0
