Hour,Day,Month,State_of_Charge
14,29,12,100.0
15,29,12,100.0
16,29,12,100.0
17,29,12,100.0
18,29,12,100.0
19,29,12,100.0
20,29,12,100.0
21,29,12,100.0
22,29,12,10.0
23,29,12,10.0
24,29,12,10.0
1,30,12,10.0
2,30,12,10.0
3,30,12,10.0
4,30,12,10.0
5,30,12,10.0
6,30,12,10.0
7,30,12,0.0
8,30,12,0.0
9,30,12,0.0
10,30,12,10.0
11,30,12,10.0
12,30,12,10.0
13,30,12,10.0
14,30,12,10.0
15,30,12,10.0
16,30,12,10.0
17,30,12,10.0
18,30,12,10.0
19,30,12,10.0
20,30,12,10.0
21,30,12,10.0
22,30,12,10.0
23,30,12,10.0
24,30,12,10.0
1,31,12,10.0
2,31,12,10.0
3,31,12,10.0
4,31,12,10.0
5,31,12,10.0
6,31,12,10.0
7,31,12,10.0
8,31,12,10.0
9,31,12,100.0
10,31,12,100.0
11,31,12,100.0
12,31,12,100.0
13,31,12,100.0
14,31,12,100.0
15,31,12,100.0
16,31,12,100.0
17,31,12,100.0
18,31,12,10.0
19,31,12,10.0
20,31,12,10.0
21,31,12,10.0
22,31,12,10.0
23,31,12,10.0
24,31,12,10.0
